;;;quick;;;;;select;;;;;insert;;;;;heap;;;;;mquick
n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n
7100;105783;116150;0.008248;14.899014;16.359156;25201450;14198;0.065110;3549.500000;1.999718;12122262;12122262;0.037390;1707.360840;1707.360840;184069;169869;0.002046;25.925211;23.925211;102738;106898;0.002592;14.470140;15.056056
7200;107241;115262;0.008398;14.894584;16.008612;25916400;14398;0.065680;3599.500000;1.999722;12471122;12471122;0.039568;1732.100220;1732.100220;186909;172509;0.002045;25.959583;23.959583;104415;105662;0.002624;14.502084;14.675278
7300;111125;118420;0.008659;15.222603;16.221918;26641350;14598;0.068697;3649.500000;1.999726;12792514;12792514;0.040369;1752.399170;1752.399170;189863;175263;0.001974;26.008631;24.008631;106767;104991;0.002441;14.625616;14.382329
7400;111570;123096;0.009551;15.077027;16.634594;27376300;14798;0.086016;3699.500000;1.999730;13143517;13143517;0.054145;1776.151001;1776.151001;192681;177881;0.002322;26.037973;24.037973;106836;106826;0.002971;14.437297;14.435946
7500;115550;121950;0.009173;15.406667;16.260000;28121250;14998;0.077102;3749.500000;1.999733;13517524;13517524;0.043368;1802.336548;1802.336548;195590;180590;0.002240;26.078667;24.078667;108356;105837;0.002700;14.447467;14.111600
7600;111603;120347;0.009599;14.684606;15.835132;28876200;15198;0.081314;3799.500000;1.999737;13862839;13862839;0.054748;1824.057739;1824.057739;198408;183208;0.002386;26.106316;24.106316;109785;108411;0.002953;14.445395;14.264606
7700;116126;129899;0.009241;15.081299;16.870001;29641150;15398;0.081391;3849.500000;1.999740;14261361;14261361;0.051386;1852.124756;1852.124756;201305;185905;0.002459;26.143507;24.143507;111450;111724;0.002944;14.474026;14.509610
7800;118332;132421;0.009333;15.170770;16.977051;30416100;15598;0.081521;3899.500000;1.999744;14658978;14658978;0.048631;1879.356201;1879.356201;204118;188518;0.002330;26.168974;24.168974;115081;115242;0.002810;14.753974;14.774615
7900;120128;130812;0.009118;15.206076;16.558481;31201050;15798;0.081365;3949.500000;1.999747;15008552;15008552;0.047035;1899.816650;1899.816650;207061;191261;0.002328;26.210253;24.210253;117091;115077;0.002749;14.821646;14.566709
8000;119636;129678;0.009467;14.954500;16.209749;31996000;15998;0.086247;3999.500000;1.999750;15416615;15416615;0.048898;1927.076904;1927.076904;209900;193900;0.002285;26.237499;24.237499;118537;119249;0.002791;14.817125;14.906125
